# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 38K of event 'cycles:u'
# Event count (approx.): 596793311525
#
# Overhead       Samples  Shared Object          Symbol                          IPC   [IPC Coverage]
# ........  ............  .....................  ..............................  ....................
#
    93.10%         35320  conv2d_profile         [.] reference_conv2d._omp_fn.0  -      -            
     6.75%          2666  conv2d_profile         [.] conv_sve_rowquad            -      -            
     0.07%            26  conv2d_profile         [.] conv_sve_tail               -      -            
     0.03%            40  conv2d_profile         [.] random_fmatrix._omp_fn.0    -      -            
     0.03%            11  conv2d_profile         [.] test_performance            -      -            
     0.01%             4  libc.so.6              [.] 0x000000000009c188          -      -            
     0.01%            36  libgomp.so.1.0.0       [.] 0x000000000001c210          -      -            
     0.01%             3  libc.so.6              [.] 0x000000000009c174          -      -            
     0.01%             2  libgomp.so.1.0.0       [.] 0x000000000001c4e0          -      -            
     0.00%             1  libgomp.so.1.0.0       [.] 0x000000000001c4ec          -      -            
     0.00%             1  libc.so.6              [.] pthread_create              -      -            
     0.00%             3  libgomp.so.1.0.0       [.] 0x000000000001c21c          -      -            
     0.00%             1  ld-linux-aarch64.so.1  [.] 0x0000000000018ce0          -      -            
     0.00%            15  libc.so.6              [.] __ctype_init                -      -            
     0.00%             8  libc.so.6              [.] 0x0000000000082270          -      -            
     0.00%            34  [unknown]              [k] 0xffffbb6c1b97db30          -      -            
     0.00%             3  [unknown]              [k] 0xffffbb6c1aba04d4          -      -            
     0.00%            15  libc.so.6              [.] 0x0000000000082224          -      -            
     0.00%             6  libc.so.6              [.] 0x0000000000082294          -      -            
     0.00%             2  libc.so.6              [.] 0x0000000000082248          -      -            
     0.00%             2  [unknown]              [k] 0xffffbb6c1ab8f588          -      -            
     0.00%             1  libc.so.6              [.] 0x0000000000082234          -      -            
     0.00%             1  [unknown]              [k] 0xffffbb6c1ac48b80          -      -            
     0.00%             1  [unknown]              [k] 0xffffbb6c1ab8f418          -      -            
     0.00%            49  libc.so.6              [.] __clone                     -      -            
     0.00%             1  ld-linux-aarch64.so.1  [.] 0x0000000000018a74          -      -            
     0.00%            11  libc.so.6              [.] 0x00000000000e9d50          -      -            
     0.00%             2  ld-linux-aarch64.so.1  [.] 0x000000000001ce00          -      -            
     0.00%             1  [unknown]              [k] 0xffffbb6c1b97dbe8          -      -            


#
# (Tip: If you prefer Intel style assembly, try: perf annotate -M intel)
#
