label	exit_code	elapsed_seconds
guard	0	0
compiler	0	1
instrument-source	0	0
build-normal	0	7
build-no-sve	0	8
build-fail-alloc	0	7
build-fail-x	0	7
build-fail-shared	0	7
assembly	0	6
micro-t1	0	0
packed-micro-t1	0	0
wide-micro-t1	0	0
normal-t1	0	1
normal-t4	0	0
normal-t38	0	1
boundary-t1	0	14
no-sve-t4	0	1
fail-alloc-t4	0	0
narrow-vl-t4	0	1
shared-fail-t1	0	0
shared-fail-t4	0	1
budget-t1	0	2
budget-t4	0	3
budget-t38	0	31
budget-x-fail-t4	0	2
budget-no-sve-t4	0	3
budget-narrow-vl-t4	0	2
budget-shared-fail-t4	0	2
wide-normal-t1	0	14
wide-normal-t4	0	15
wide-normal-t38	0	16
wide-no-sve-t4	0	15
wide-narrow-vl-t4	0	14
wide-shared-fail-t4	0	15
wide-x-fail-t4	0	14
wide-all-fail-t4	0	15
verify-results	0	1
