TRSM m=1 n=1 PASS known-solution max-error=0.000e+00; padding and L unchanged
TRSM m=3 n=7 PASS known-solution max-error=5.551e-17; padding and L unchanged
TRSM m=4 n=8 PASS known-solution max-error=2.776e-17; padding and L unchanged
TRSM m=5 n=9 PASS known-solution max-error=5.551e-17; padding and L unchanged
TRSM m=65 n=17 PASS known-solution max-error=1.110e-16; padding and L unchanged
TRSM m=257 n=1 PASS known-solution max-error=1.110e-16; padding and L unchanged
TRSM m=4095 n=9 PASS known-solution max-error=1.665e-16; padding and L unchanged
TRSM m=4096 n=8 PASS known-solution max-error=3.331e-16; padding and L unchanged
TRSM m=4097 n=9 PASS known-solution max-error=3.331e-16; padding and L unchanged
TRSM m=4355 n=65 PASS known-solution max-error=4.441e-16; padding and L unchanged
TRSM 10 known-solution cases and 4 no-op boundaries PASS; max-error=4.441e-16
